Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074802539,2240016403,2371782097,2545104657,2753902531,2824048385,2857535627,3058902590,3119835454,3158460322,3399227247,3541382985,3507918564,3546874161,3805573517,3790992931,3833733020,3952177903,4024730214,3554732628,3457565548,3574059132,3536860329,3764332115,3818015204,3955902057,4004731156,4144633630,4277778788,4330186380,3295358879,3780785539,4182926182,4505295870,4812141511,
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09714E+12,1.09736E+12,1.07006E+12,1.05804E+12,1.07683E+12,1.12494E+12,1.18879E+12,1.23635E+12,1.26025E+12,1.2933E+12,1.33297E+12,1.38106E+12,1.43326E+12,1.47441E+12,1.55891E+12,1.6567E+12,1.76831E+12,1.88921E+12,1.97519E+12,1.99693E+12,2.10851E+12,2.20229E+12,2.27294E+12,2.37282E+12,2.47335E+12,2.55371E+12,2.61955E+12,2.69746E+12,2.77652E+12,2.8362E+12,2.76315E+12,2.89238E+12,3.00523E+12,3.065E+12,3.159E+12,
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32567375970,29495629513,37931379899,41281584746,41865355064,46566715049,49061481754,55844878996,58036781460,70451155677,80569661677,80913174278,91231454558,96341095376,98965950295,1.00402E+11,1.02672E+11,1.05389E+11,1.06643E+11,1.10814E+11,1.08209E+11,85767546198,80415503801,82238478028,,
Africa Western and Central,AFW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71739E+11,8.81258E+11,9.03375E+11,8.9137E+11,8.88345E+11,9.03829E+11,9.45343E+11,9.85013E+11,1.0197E+12,1.035E+12,1.07514E+12,1.13252E+12,1.24882E+12,1.32142E+12,1.42847E+12,1.5119E+12,1.59337E+12,1.68054E+12,1.78558E+12,1.89767E+12,2.0316E+12,2.13319E+12,2.24136E+12,2.37692E+12,2.51306E+12,2.58622E+12,2.58796E+12,2.64518E+12,2.72055E+12,2.80781E+12,2.69928E+12,2.76536E+12,2.88792E+12,2.99269E+12,3.1287E+12,
Angola,AGO,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97297784927,98262355569,92525523396,70334740879,71276778682,81968295505,93070384530,99840582436,1.04524E+11,1.06804E+11,1.10067E+11,1.14696E+11,1.3037E+11,1.34917E+11,1.50324E+11,1.71602E+11,1.91923E+11,2.16878E+11,2.40272E+11,2.45067E+11,2.5804E+11,2.67313E+11,2.90043E+11,3.04206E+11,3.18369E+11,3.20799E+11,3.15344E+11,3.14873E+11,3.13001E+11,3.1236E+11,2.99733E+11,3.06036E+11,3.18939E+11,3.22968E+11,3.37256E+11,
Albania,ALB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18275990072,13158321444,12212618288,13380072746,14491002336,16421541970,17626280307,15561965572,16855168833,18920049754,20332026337,22134202389,23158660899,24393773484,25678413444,26995927112,28620806900,30481185855,32586540354,33463363185,34458280649,35307166195,35654634568,36263340586,37075721716,37901659079,39383210491,40676230580,42169625552,43039406930,41613185842,45345712251,47534459373,49443166216,51443601345,
Andorra,AND,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2631759312,2698763997,2723841291,2695745293,2759989816,2836096580,2967967659,3237093233,3340511674,3477441884,3600138635,3892446769,4069411498,4423214424,4783072833,5041253346,5283671526,5365736886,5067445572,4798726710,4703953873,4703574275,4469597620,4311034331,4419002699,4482377402,4648659174,4664746876,4738858765,4834372721,4293699379,4649508749,5094216232,5225828101,5402033635,
Arab World,ARB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52865E+12,2.48962E+12,2.64792E+12,2.73351E+12,2.81775E+12,2.89775E+12,3.04411E+12,3.20623E+12,3.38098E+12,3.48646E+12,3.70135E+12,3.78578E+12,3.83173E+12,3.9621E+12,4.31754E+12,4.548E+12,4.82046E+12,5.04538E+12,5.33439E+12,5.40097E+12,5.66081E+12,5.91439E+12,6.15044E+12,6.28813E+12,6.46209E+12,6.71526E+12,6.97144E+12,7.08545E+12,7.29155E+12,7.4561E+12,7.14115E+12,7.44619E+12,7.96844E+12,8.1005E+12,8.2484E+12,
United Arab Emirates,ARE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11418E+11,2.13237E+11,2.20369E+11,2.23148E+11,2.38537E+11,2.5449E+11,2.69247E+11,2.91299E+11,2.92149E+11,3.00628E+11,3.33255E+11,3.37917E+11,3.4614E+11,3.76602E+11,4.1263E+11,4.32664E+11,4.75226E+11,4.90359E+11,5.06011E+11,4.79481E+11,4.87166E+11,5.19984E+11,5.44336E+11,5.71109E+11,5.97568E+11,6.39922E+11,6.76128E+11,6.68952E+11,6.79235E+11,6.8787E+11,6.28071E+11,6.56665E+11,7.0601E+11,7.36377E+11,7.65772E+11,
Argentina,ARG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57089E+11,6.07968E+11,6.56225E+11,7.10081E+11,7.51523E+11,7.3014E+11,7.70493E+11,8.32988E+11,8.65059E+11,8.35773E+11,8.29179E+11,7.92622E+11,7.0627E+11,7.68683E+11,8.38092E+11,9.12277E+11,9.85689E+11,1.07448E+12,1.11807E+12,1.0519E+12,1.15841E+12,1.22796E+12,1.21535E+12,1.24459E+12,1.21331E+12,1.24645E+12,1.22052E+12,1.25492E+12,1.22208E+12,1.19762E+12,1.07905E+12,1.19173E+12,1.26348E+12,1.24003E+12,1.22338E+12,
