Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21732.85831,23099.94009,23889.04502,24575.66066,25791.04318,26254.7428,26004.49563,27240.80279,27412.75519,27765.65326,30245.70697,31920.23907,31888.50874,32507.08431,35059.2731,35098.79767,35937.59466,37768.56601,38904.99925,34339.93916,33729.51191,35324.07206,34095.64717,35901.64596,35657.2872,35972.85966,36117.53526,37524.91492,39287.05971,38543.90729,28854.5973,35104.7868,41758.89576,46574.35742,50649.30152,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851.172551,1866.163505,1820.062818,1807.249785,1832.163205,1903.826539,1994.831064,2063.257707,2071.874468,2103.976822,2167.022577,2238.454817,2299.255597,2353.972416,2486.09103,2649.498234,2835.845015,3023.755132,3132.535959,3095.108504,3210.348232,3320.033247,3244.664345,3373.823793,3514.322153,3539.815506,3634.441673,3837.726375,3723.216423,3801.413183,3708.094649,4028.376504,4369.191056,4501.601101,4635.788224,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.550256,747.6880455,926.507941,966.9620321,971.633503,1076.087353,1121.834471,1286.949843,1333.747267,1570.698145,1765.538028,1744.060623,1988.429304,2133.241271,2224.490748,2284.075848,2213.181441,2335.795862,2432.276701,2583.485332,2561.981761,2144.16657,2122.995815,2201.722907,,
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128.81226,2167.919776,2213.876162,2177.109793,2158.470111,2180.440934,2259.840956,2331.208775,2373.913139,2377.367214,2457.445111,2575.017011,2807.406331,2948.095191,3184.34533,3380.219194,3569.23524,3762.119849,3963.394037,4122.852971,4346.833633,4531.802947,4661.175276,4861.150622,5114.69221,5056.739439,4965.330229,5026.648499,5179.35999,5484.249418,5414.04254,5690.967743,6220.122875,6520.280313,6815.990961,
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3704.863177,3740.350835,3486.206867,2627.588101,2632.888199,2989.76138,3341.911888,3525.08343,3609.092978,3618.776082,3689.537808,3801.633134,4241.291502,4322.197732,4770.688026,5415.61212,6017.818163,6727.963289,7315.602331,7227.563642,7411.654609,7537.596564,8246.360812,8504.095321,9017.690182,8067.485847,7766.837875,8006.836615,8278.368862,8572.878956,7827.428043,8862.281333,9588.241295,9753.600468,10118.60899,
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655.673133,1988.640611,1899.258869,2143.176074,2385.27958,2776.828814,3054.035206,2760.065364,3085.785894,3549.27256,3977.771869,4450.514185,4840.332008,5169.188758,5594.791623,6014.31697,6752.901486,7584.689222,8469.245375,9030.609555,9754.842787,10273.41998,10608.84482,10882.02613,11787.85496,12386.59227,13055.84175,14110.68324,15055.2808,16442.12594,16287.60977,18212.87025,22138.41829,24822.35431,26701.67496,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24908.87094,24510.24608,23816.84047,22958.32578,23509.45998,24934.38277,26541.58145,29121.60371,30072.72727,31589.95824,33458.11816,36895.44025,38787.05225,41147.8807,42717.23777,44577.81933,46852.65839,47501.43093,44838.995,42522.99456,43853.17124,46436.11586,45503.04448,45609.23072,48505.60174,50733.239,53110.14263,53084.86396,55244.65541,57475.06928,52095.8414,59332.20291,68470.07595,71730.66868,74939.4746,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6807.837136,7124.668663,7553.163204,7757.270509,7938.518413,8105.220328,8435.5045,8829.127748,9164.987705,9355.441856,9944.486687,10137.39325,10152.49385,10468.01781,11487.51733,12202.83473,13018.85712,13618.27929,14288.84774,14113.55608,14676.78186,15244.9958,16106.53064,16033.85988,15817.08277,14332.86621,13860.66332,14473.33638,15558.1308,15746.00488,14309.39281,16026.6357,17956.13156,18488.74156,18870.31481,
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88455.07843,87250.18077,87509.04349,86330.19942,89958.95956,93702.36675,94619.5988,96008.8726,90229.30839,87657.94952,92899.3675,90370.25412,88466.58162,92635.92269,98661.43706,101301.4123,106814.0536,100813.1882,94628.26666,84780.32097,85120.19747,89665.40189,89198.0119,87526.32548,87477.7342,73986.06364,69986.98357,70281.88895,77446.22699,79816.30109,66790.68227,68580.14854,75071.65863,77955.29518,79228.7388,
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7158.308492,7960.97844,8667.852804,9472.445099,10103.02974,9890.924709,10495.83925,11403.48079,11835.67699,11463.85331,11499.9828,11117.75492,9953.464929,10933.39255,12117.67974,13464.81285,14843.57787,16455.11298,17276.75709,16182.07535,17847.61104,19104.99094,19430.41781,19928.98949,19487.41817,19899.14993,20105.76136,23385.07409,24410.39191,23516.8262,22393.34796,26300.27426,29808.80735,30221.49769,30431.19312,
